,PHIL150,CS106A,ECON102A,PHIL151,MATH52,MATH51,MATH51H,MATH115,CHEM171,CHEM131,CHEM135,CHEM33,CHEM35,CS161,CS106B,CS106X,CS107,EE108,CME100,ENGR154,CS110,MATH53,ENGR40,ME161,EE102A,EE102B,ECON50,MS&E120,CS103,PSYCH1,MATH42,MATH20,MATH21,MATH41,MATH19,CHEM31X,CME102,ECON51,MS&E111,CS229,CS221,CS124,CS224N,BIO42,BIO41,MATH171,ECON52,ENGR30,ENGR14,STATS116,ME70,ECON1,MATH104,CS109,PHYSICS41,CS108,EE101A,CHEM31A,CS148,PSYCH60,CS131,LINGUIST1,MATH52H,PHYSICS41A
PHIL151,-0.9121965035765087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL154,-10.06184243999189,,,11.287667952600957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS102,,1.6094541157524118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS106X,,-1.1849718849793074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E125,,0.6659667435398096,,,,,,,,,,,,,,,,,,,,,,,,,,0.30659112532994554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS279,,-10.536200893613184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR40M,,-1.0941668547851664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS103,,-0.4442245104076526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS106B,,-0.654077334871031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON102B,,,0.1703415762762453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON178,,,-11.126709988038748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.849616597569087,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH106,,,,,-12.117948514259716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME106,,,,,-0.12336790200863253,-0.051262212601104896,,,,,,,,,,,,,0.31179188246834094,-0.4106324366059801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH104,,,,,-0.14554570616718693,0.06422491877337305,,,,,,,,,,,,,,,,0.9056231448517624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH116,,,,,13.875039584206215,,,-2.7408124455725074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.796778855134589,,,,,,,,,,,,,,,,,,
STATS116,,,,,0.6027127209645401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH146,,,,,0.8472953858287435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4028850207494165e-05,
PHYSICS43,,,,,14.304475386104478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4049212264501036,,,,,,,,,,,,,,,,,,0.18389624184309702,,,,,,,,,
MATH107,,,,,,-0.4848526873528849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E120,,,,,,-0.15968198831721184,,,,,,,,,,,,,0.7532661325679132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E145,,,,,,17.533651130120518,,,,,,,,,,,,,2.0502576824449013,,,,,,,,,1.5637856090066347,,,,,,,,,,,-1.6042296234138864,,,,,,,,,,,,,,,,,,,,,,,,,
MATH52,,,,,,-0.21399314297756084,,,,,,,,,,,,,,,,,,,,,,,,,-1.6406599530187966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS205A,,,,,,-0.5783362008638099,,,,,,,,,1.06036437767153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E220,,,,,,-0.8507040512129269,,,,,,,,,,,,,-1.0321515305137536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME103,,,,,,0.20902940003721096,,,,,,,,,,,,,1.1400766856400848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH115,,,,,,1.0056254141327423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E111,,,,,,0.9028687530619843,,,,,,,,,,,,,1.1735144536390967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH53,,,,,,0.6230366838731196,,,,,,,,,,,,,,,,,,,,,,,,,13.840046194293402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS109,,,,,,0.5670879617087236,,,,,,,,,1.0669458611978129,2.5577961376355214,,,0.3282411943193349,,,,,,,,,,0.2250107266374786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH171,,,,,,,0.7929958686751959,-0.9927269388998471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM181,,,,,,,,,20.283461639748474,2.3671582467567327,-1.1770689020278184,-3.419509857895278,-15.735532460467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG110,,,,,,,,,-11.853395021368382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM135,,,,,,,,,,,,0.1009010118012276,-7.133338441201545,,,,,,,,,,,,,,,,,,,,,,,13.519502528195629,,,,,,,,,,,,,,,,,,,,,,-8.924632055187011,,,,,,
CHEM35,,,,,,,,,,,,1.3492590821116397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO41,,,,,,,,,,,,,14.911800127879665,,,,,,,,,,,,,,,,,,13.231492014486042,9.235214363384664,8.051180027767781,7.589815652289,6.439741154613818,0.6867049234228203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS265,,,,,,,,,,,,,,-13.714118842174027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS107E,,,,,,,,,,,,,,,-12.417574216412415,-12.767566246068531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS193A,,,,,,,,,,,,,,,0.5493049779631898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS193P,,,,,,,,,,,,,,,16.65974949358068,16.850806759093064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS221,,,,,,,,,,,,,,,-0.31940554895505613,-0.06016478310433597,0.06696239042805747,,,,,,,,,,,,0.6047008558868112,,,,,,,,,,,,,,,,,,,,,,,,,0.37779565988172054,,,,,,,,,,
CS107,,,,,,,,,,,,,,,1.0111583517913725,2.3847120872247074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE180,,,,,,,,,,,,,,,,,1.0265027555153505,0.5962892378703235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS108,,,,,,,,,,,,,,,,,-0.24196340678705586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS124,,,,,,,,,,,,,,,,,-0.7805126238666432,,,,,,,,,,,,0.8365063853645878,,,,,,,,,,,,,,,,,,,,,,,,,0.32887623059282084,,,,,,,,,,
CS142,,,,,,,,,,,,,,,,,1.5163313720288534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11065409974348496,,,,,,,,
CS143,,,,,,,,,,,,,,,,,-13.789413656896576,,,,,,,,,,,,0.4962838877778742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS145,,,,,,,,,,,,,,,,,0.36633712453859274,,,,,,,,,,,,0.5247648632219241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS110,,,,,,,,,,,,,,,,,-0.09452840064645715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME102,,,,,,,,,,,,,,,,,,,0.49499715174956677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS144,,,,,,,,,,,,,,,,,,,,,0.1497472278704421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS140,,,,,,,,,,,,,,,,,,,,,2.79029929061474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE102A,,,,,,,,,,,,,,,,,,,,,,1.458552936128563,,,,,,,,,,,,,,,2.29249427960383,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME210,,,,,,,,,,,,,,,,,,,,,,,-0.4243980739219803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR105,,,,,,,,,,,,,,,,,,,,,,,,0.5122345665929298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE264,,,,,,,,,,,,,,,,,,,,,,,,,3.069187683621274,-15.409545016616429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE263,,,,,,,,,,,,,,,,,,,,,,,,,,1.3459747218514142,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6180001854753264,,,,,,,,,,,
ECON52,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.160480116352439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON111,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.166363352070638,,,,,,,,,,,,,,,,,,,,1.1735423598936754,,,,,,,,,,,,,,,,,
ECON51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985832982145083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS227B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.891573161974177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8203345550435592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2443141149043513,,,,,,,,,,,,,,,,,,,,,1.0403017025674606,,,,0.45014587258974753,,,,,,,,,,
PSYCH45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13861590284878908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCH95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.396784060293822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCH120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.466895429776638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCH80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.66145386878975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11972819334835619,,-1.340592028515594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON102A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2778251247485899,,14.39277857767195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9973037582440026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06041511895796825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2755086782600453,,,,,,,,,,,,,,,,,,,,,,0.31098138443674994,,,,,,
BIOE101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5003485128551275,,,,,,,3.7580178344685353,-3.542911193550715,,,,,,,,,,,,,,,,,,,
BIOE103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09475486453465,,,,,,,7.1652918037596605,7.139134897073602,,,,,,,,,,13.401451341671228,,,,,,,,,
CS224S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4624226910856429,-0.36617209984559806,-0.644077049388304,-2.0491031194527656,,,,,,,,,,,,,,,,,,,,,
CS231N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.349591388076218,,,,,,,,,,,,,,,,,,,,,13.996677996799454,,,
ME70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9044391267848697,-0.5197272982587907,,,,,,,,,,,,,,,
ME131A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3883825841158093,,,2.6823348953104875,,,,,,,,,,,,,
ME80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8018107325434662,,,,,,,,,,,,,,,
STATS200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0812235279924471,,,,,,,,,,,,,,
EARTHSYS112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.008062431004289,,,,,,,,,,,,
PHYSICS45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5711739518789032,,,,,,,,,
EE271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.711043558872548,,,,,,,
CHEM31B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5056056389524466,,,,,,
CS248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.960601727923649,,,,,
PSYCH146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49248815603460216,,,,
LINGUIST130B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.056177725474626,,
PHYSICS41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.066008470968234
